Employee_id,Department,Department_Name,Division,Gender,Base_Salary,2021_Overtime_Pay,2021_Longevity_Pay,Post_Code,Position,Race,Bonus_Level,Length_of_Service,Education,base_bonus,other_bonus
190,CEC,Community Engagement Cluster,Community Partnerships,F,50750.0,0.0,0.0,78201,Assistant,Hispanic,2,4,Ph.D,50750.0,0.0
191,FRS,Fire and Rescue Services,Station 33,M,71062.0,141.69,0.0,90001,Senior,Asian,2,6,High School,99486.80000000002,49.5915
192,POL,Department of Police,POL 47 PSB 5th District Patrol,M,95112.0,0.0,3565.22,75201,Senior,Pacific Islander,4,9,Bachelor,209246.4,891.305
193,DOT,Department of Transportation,DOT 50 Transportation System Engineering,F,80562.13,0.0,0.0,90001,Senior,Black,3,7,Bachelor,136955.621,0.0
194,HHS,Department of Health and Human Services,Office of Eligibility and Support Services,F,87969.0,0.0,5318.56,95113,Assistant,Asian,2,10,Bachelor,193531.8,1329.64
195,CEC,Community Engagement Cluster,Community Partnerships,F,75500.0,0.0,0.0,85001,Assistant,White,4,7,High School,135900.0,0.0
196,LIB,Department of Public Libraries,Kensington Park Library,M,92211.0,1066.24,1907.6,75201,Junior,Native American,4,6,High School,147537.6,850.084
197,HHS,Department of Health and Human Services,Office of Eligibility and Support Services,F,31712.5,0.0,0.0,75201,Junior,Asian,4,9,High School,69767.5,0.0
198,HHS,Department of Health and Human Services,Public Health Services Division,M,71530.5,2207.29,0.0,92101,Junior,Asian,2,8,Master,128754.9,772.5514999999999
199,HHS,Department of Health and Human Services,Office of Eligibility and Support Services,M,48261.4,0.0,0.0,85001,Junior,White,2,10,Bachelor,106175.08,0.0
200,POL,Department of Police,FSB Traffic Division School Safety Section,M,19986.48,0.0,0.0,75201,Senior,Asian,3,2,Bachelor,13990.536,0.0
201,POL,Department of Police,POL 47 MSB Training and Education Division,F,53288.0,38.43,0.0,95113,Manager,Hispanic,4,10,Master,127891.2,13.4505
202,DOT,Department of Transportation,Highway Services,M,66446.0,4931.0,4017.52,90001,Senior,White,2,5,Master,79735.2,2730.23
203,POL,Department of Police,MSB Communications Division,F,92211.0,1501.58,0.0,77001,Junior,Native American,5,3,Bachelor,101432.1,525.553
204,FRS,Fire and Rescue Services,Field Recruits,M,48942.0,397.11,0.0,78201,Manager,Pacific Islander,3,7,Ph.D,83201.4,138.9885
205,CAT,County Attorney's Office,Human Resources and Appeals,F,149030.06,0.0,0.0,95113,Manager,Black,4,6,Bachelor,238448.096,0.0
206,DOT,Department of Transportation,Transit Silver Spring Ride On,F,50595.83,3634.59,0.0,90001,Assistant,Asian,2,9,Bachelor,101191.66,1272.1065
207,POL,Department of Police,PSB 2nd District Patrol,M,95112.0,0.0,6724.51,90001,Assistant,Asian,3,7,Ph.D,161690.40000000002,1681.1275
208,FRS,Fire and Rescue Services,Station 6,M,96088.0,41683.49,3339.6,75201,Junior,Hispanic,1,10,Master,201784.8,15424.121499999996
209,ABS,Alcohol Beverage Services,Wholesale Operations,M,92211.0,0.0,5574.4,95113,Assistant,Black,4,3,High School,92211.0,1393.6
210,FRS,Fire and Rescue Services,Station 23,F,96088.0,0.0,517.44,85001,Senior,Asian,5,5,Master,144132.00000000003,129.36
211,FRS,Fire and Rescue Services,Station 24,M,61040.0,38643.21,0.0,85001,Junior,Black,3,9,Master,128184.0,13525.1235
212,FRS,Fire and Rescue Services,Station 34,M,84401.0,16229.32,0.0,92101,Senior,Hispanic,3,4,Ph.D,92841.1,5680.262
213,POL,Department of Police,MSB Information Mgmt and Tech Division Records Management Section,M,72930.0,0.0,2172.56,85001,Manager,Asian,3,10,Bachelor,167739.0,543.14
214,FRS,Fire and Rescue Services,FRS 45 Station 14,M,119197.0,12785.93,4486.14,60601,Assistant,White,5,9,Master,274153.1,5596.6105
215,LIB,Department of Public Libraries,Aspen Hill Library,F,92211.0,0.0,5574.4,19102,Assistant,Pacific Islander,3,2,Bachelor,64547.7,1393.6
216,ABS,Alcohol Beverage Services,ABS 85 Leisure World,M,38380.34,0.0,0.0,77001,Junior,Native American,1,6,Ph.D,49894.442,0.0
217,HHS,Department of Health and Human Services,Public Health Services Division,M,92211.0,0.0,5574.4,95113,Manager,Native American,2,5,Bachelor,110653.2,1393.6
218,COR,Correction and Rehabilitation,DS MCCF Unit 2 Security,F,86850.0,10525.14,0.0,60601,Senior,Asian,4,1,Bachelor,52110.0,3683.799
219,DOT,Department of Transportation,Transit Silver Spring Ride On,M,69604.0,12498.13,2028.67,78201,Junior,Other,4,3,Bachelor,69604.0,4881.512999999999
220,DGS,Department of General Services,Facilities Major Programs,M,128483.0,0.0,7767.76,77001,Senior,White,4,3,Ph.D,128483.0,1941.94
221,HHS,Department of Health and Human Services,School Health Services,F,49085.31,570.7,0.0,95113,Senior,Black,3,3,Ph.D,44176.779,199.745
222,COR,Correction and Rehabilitation,COR 42 DS MCDC Custody and Security,M,49757.0,1353.52,0.0,10001,Senior,Asian,2,9,Bachelor,99514.0,473.732
223,COR,Correction and Rehabilitation,DS MCCF Unit 2 Security,F,63721.0,10874.6,0.0,77001,Senior,Other,5,5,Master,95581.5,3806.11
224,FRS,Fire and Rescue Services,Station 40,M,119197.0,47452.15,4102.71,77001,Manager,Black,3,4,High School,131116.7,17633.93
225,HHS,Department of Health and Human Services,HHS 60 School Health Services,F,81916.0,0.0,0.0,19102,Assistant,Hispanic,2,2,High School,49149.600000000006,0.0
226,DOT,Department of Transportation,Highway Services,M,36240.0,1921.16,0.0,19102,Junior,Black,3,4,Bachelor,39864.0,672.406
227,HHS,Department of Health and Human Services,Aging & Disability Services Division,F,86697.89,0.0,0.0,19102,Manager,Pacific Islander,1,2,Ph.D,43348.94500000001,0.0
228,DPS,Department of Permitting Services,Customer Support,F,83931.0,160.6,5070.61,78201,Junior,Asian,2,3,Bachelor,67144.8,1323.8625
229,HHS,Department of Health and Human Services,Public Health Services Division,F,72930.0,3269.38,0.0,10001,Senior,Black,1,9,Ph.D,138567.0,1144.283
230,POL,Department of Police,PSB 5th District Community Action Team,M,109849.0,8623.43,0.0,92101,Assistant,Other,3,2,Ph.D,76894.30000000002,3018.2005
231,LIB,Department of Public Libraries,Kensington Park Library,F,85157.78,0.0,0.0,78201,Junior,Black,1,6,Ph.D,110705.11400000002,0.0
232,POL,Department of Police,FSB Special Operations Division Tactical Operations Section,M,95112.0,9174.23,2295.27,78201,Junior,Other,5,3,High School,104623.2,3784.798
233,HHS,Department of Health and Human Services,School Health Services,F,47425.51,0.0,0.0,85001,Junior,Native American,5,6,Bachelor,80623.36700000001,0.0
234,LIB,Department of Public Libraries,Davis Library,M,89671.34,0.0,0.0,90001,Junior,Asian,2,4,High School,89671.34,0.0
235,REC,Department of Recreation,Programs Division,F,168715.45,0.0,0.0,10001,Manager,Hispanic,4,2,High School,134972.36000000002,0.0
236,DOT,Department of Transportation,Highway Services,M,66446.0,15632.62,1980.16,95113,Manager,Pacific Islander,2,3,Ph.D,53156.8,5966.457
237,ABS,Alcohol Beverage Services,Purchasing,M,109420.92,0.0,0.0,10001,Manager,Black,1,3,Ph.D,76594.644,0.0
238,CEC,Community Engagement Cluster,Silver Spring Urban District,M,41369.05,8497.77,0.0,60601,Senior,White,5,6,Ph.D,70327.38500000001,2974.2195
239,CUS,Community Use of Public Facilities,Core Services Team,F,68148.12,196.59,0.0,85001,Junior,White,4,1,Bachelor,40888.872,68.8065
240,FRS,Fire and Rescue Services,Station 19,M,96088.0,0.0,0.0,85001,Senior,White,1,5,Ph.D,105696.80000000002,0.0
241,HHS,Department of Health and Human Services,Public Health Services Division,F,106250.0,5193.16,0.0,78201,Assistant,Asian,5,2,Bachelor,95625.0,1817.606
242,ABS,Alcohol Beverage Services,ABS 85 Liquor and Wine Delivery Operations,M,45634.79,806.04,0.0,10001,Senior,Other,4,3,High School,45634.79000000001,282.114
243,FRS,Fire and Rescue Services,Field Recruits,F,48942.0,0.0,0.0,92101,Manager,Asian,2,9,High School,97884.0,0.0
244,POL,Department of Police,PSB 4th District Patrol,M,77370.0,8249.05,0.0,19102,Assistant,Pacific Islander,3,10,Bachelor,177951.0,2887.1675
245,COR,Correction and Rehabilitation,DS MCCF Unit 3 Security,M,48073.0,13937.84,0.0,90001,Assistant,Other,4,6,High School,76916.8,4878.244
246,DOT,Department of Transportation,Transit Nicholson Ride On,M,76419.0,54317.61,2276.56,95113,Senior,Native American,5,3,High School,84060.9,19580.3035
247,POL,Department of Police,PSB 4th District Patrol,M,55154.0,227.18,0.0,85001,Manager,White,3,6,High School,82731.0,79.51299999999999
248,POL,Department of Police,FSB Traffic Division Collision Reconstruction,M,95112.0,6583.18,2295.27,60601,Junior,Asian,2,6,Bachelor,133156.80000000002,2877.9305
249,POL,Department of Police,PSB 5th District Community Action Team,M,90072.0,2211.29,0.0,92101,Junior,Other,1,6,Master,117093.6,773.9514999999999
250,DGS,Department of General Services,Facilities Maintenance,M,69604.0,61676.61,4207.84,19102,Senior,Pacific Islander,1,9,High School,132247.6,22638.7735
251,POL,Department of Police,HQ Office of the Chief Internal Affairs Division,M,109849.0,323.12,3816.41,78201,Assistant,Other,2,4,Bachelor,109849.0,1067.1945
252,CEC,Community Engagement Cluster,Business Management,F,76020.33,0.0,0.0,19102,Manager,White,5,7,Ph.D,144438.627,0.0
253,FRS,Fire and Rescue Services,Station 22,M,84401.0,1176.16,0.0,78201,Manager,Other,1,6,Master,109721.30000000002,411.656
254,FIN,Department of Finance,Tax Operations,F,111407.0,0.0,0.0,95113,Assistant,Hispanic,5,6,Master,189391.9,0.0
255,HHS,Department of Health and Human Services,Office of Eligibility and Support Services,F,87969.0,0.0,2620.8,90001,Senior,Hispanic,4,6,Ph.D,140750.4,655.2
256,POL,Department of Police,PSB 6th District Patrol,F,86830.64,4295.04,5256.16,95113,Manager,Native American,5,7,Bachelor,164978.216,2817.304
257,DGS,Department of General Services,Property Management,M,106250.0,50861.51,0.0,78201,Manager,Black,3,4,Ph.D,116875.0,17801.5285
258,POL,Department of Police,PSB 3rd District Patrol,F,91894.0,18836.36,0.0,78201,Junior,Black,1,10,Master,192977.4,6592.726
259,LIB,Department of Public Libraries,Digital Strategies,F,86668.31,0.0,0.0,92101,Manager,White,1,1,Bachelor,26000.493,0.0
260,FRS,Fire and Rescue Services,Station 32,M,92838.0,58237.38,0.0,10001,Junior,White,5,3,Ph.D,102121.80000000002,20383.083
261,LIB,Department of Public Libraries,White Oak Library,M,29871.81,0.0,0.0,95113,Senior,White,2,9,Ph.D,59743.62000000001,0.0
262,POL,Department of Police,ISB Criminal Investigations Division 3rd District Investigative Section,M,95112.0,2687.59,0.0,95113,Manager,Black,2,6,Bachelor,133156.80000000002,940.6565
263,FRS,Fire and Rescue Services,Station 17,M,55052.0,8185.59,0.0,95113,Senior,Native American,5,9,High School,126619.6,2864.9565
264,FRS,Fire and Rescue Services,FRS 45 Fourth Battalion - Administration,F,137231.0,0.0,5099.39,95113,Manager,Pacific Islander,5,5,Master,205846.5,1274.8475
265,FRS,Fire and Rescue Services,Station 7,M,68658.0,50651.6,0.0,60601,Junior,Asian,4,7,High School,123584.4,17728.059999999998
266,OHR,Office of Human Resources,Health Insurance Team,F,108486.88,0.0,0.0,19102,Manager,Hispanic,3,4,Master,119335.56800000004,0.0
267,HHS,Department of Health and Human Services,Child Welfare Services,M,68018.11,0.0,0.0,95113,Junior,Asian,5,5,Master,102027.165,0.0
268,ABS,Alcohol Beverage Services,Beer Delivery Operations,M,65832.76,12552.22,0.0,78201,Junior,Hispanic,1,1,Ph.D,19749.828,4393.276999999999
269,HHS,Department of Health and Human Services,Aging & Disability Services Division,M,63577.77,0.0,0.0,60601,Assistant,Other,3,5,Bachelor,82651.101,0.0
270,HHS,Department of Health and Human Services,Public Health Services Division,F,161615.3,0.0,0.0,60601,Assistant,Pacific Islander,2,5,Master,193938.36,0.0
271,POL,Department of Police,ISB Major Crimes Division Fugitive Section,M,99865.0,9550.54,7060.43,19102,Junior,White,4,1,Bachelor,59919.0,5107.7965
272,DOT,Department of Transportation,Transit Gaithersburg Ride On,M,69604.0,1641.05,2073.76,60601,Assistant,Other,1,8,Master,118326.8,1092.8075
273,FRS,Fire and Rescue Services,Station 32,M,61923.0,5909.16,0.0,78201,Assistant,Pacific Islander,3,4,Master,68115.3,2068.206
274,HHS,Department of Health and Human Services,School Health Services,F,48767.54,120.59,0.0,92101,Assistant,Hispanic,3,3,Bachelor,43890.78599999999,42.2065
275,HHS,Department of Health and Human Services,Public Health Services Division,F,79319.46,312.2,0.0,75201,Senior,Pacific Islander,5,6,Master,134843.08200000002,109.27
276,DPS,Department of Permitting Services,Land Development Right-of-Way Inspection,M,62434.52,9679.85,0.0,90001,Assistant,Pacific Islander,3,4,Master,68677.97200000001,3387.9475
277,FRS,Fire and Rescue Services,Station 6,M,87356.0,5321.19,0.0,75201,Assistant,Pacific Islander,5,10,Bachelor,218390.0,1862.4165
278,DGS,Department of General Services,Facilities Maintenance,M,72039.76,26805.48,0.0,10001,Junior,Other,5,3,Bachelor,79243.736,9381.918
279,CEC,Community Engagement Cluster,Wheaton Urban District,M,58493.17,5563.81,0.0,78201,Manager,Asian,2,5,Master,70191.804,1947.3335
280,HHS,Department of Health and Human Services,Chief Operating Officer Division,M,105023.22,0.0,0.0,92101,Manager,Other,4,1,Master,63013.932,0.0
281,DGS,Department of General Services,Fleet Automotive Heavy Equipment,M,90236.95,6040.6,0.0,92101,Assistant,Black,4,7,Ph.D,162426.51,2114.21
282,HHS,Department of Health and Human Services,Public Health Services Division,M,50485.6,673.56,0.0,85001,Assistant,Hispanic,5,3,Bachelor,55534.16,235.74599999999995
283,ABS,Alcohol Beverage Services,Retail Administration,F,63167.59,0.0,0.0,85001,Senior,White,2,9,Master,126335.18,0.0
284,POL,Department of Police,PSB 5th District Patrol,M,99865.0,1343.46,7060.43,78201,Senior,Native American,2,5,Bachelor,119838.0,2235.3185
285,SHF,Sheriff's Office,Child Support,M,75391.0,98.73,0.0,85001,Manager,Other,3,6,Ph.D,113086.5,34.5555
286,ABS,Alcohol Beverage Services,Liquor and WIne Loading,M,44384.07,1934.33,0.0,10001,Junior,White,2,7,High School,71014.512,677.0155
287,POL,Department of Police,PSB 4th District Community Action Team,M,74752.0,6711.97,0.0,95113,Assistant,Asian,3,6,High School,112128.0,2349.1895
288,POL,Department of Police,PSB 4th District Patrol,M,95112.0,11533.44,3304.47,75201,Assistant,Other,1,7,Bachelor,142668.00000000003,4862.8215
289,POL,Department of Police,PSB 4th District Patrol,M,109849.0,2812.19,2504.05,85001,Senior,Black,4,1,Ph.D,65909.40000000001,1610.279
290,HHS,Department of Health and Human Services,Chief Operating Officer Division,M,111485.0,0.0,0.0,19102,Manager,Asian,4,9,Bachelor,245267.0,0.0
291,DOT,Department of Transportation,Transit Silver Spring Ride On,M,58060.12,22620.16,0.0,85001,Junior,Other,2,3,High School,46448.096000000005,7917.056
292,DGS,Department of General Services,Fleet Management Administration,F,80086.0,0.0,0.0,95113,Junior,Asian,5,3,Master,88094.6,0.0
293,HHS,Department of Health and Human Services,Behavioral Health and Crisis Services Division,F,63425.0,0.0,1889.68,10001,Assistant,Other,3,10,Bachelor,145877.5,472.42
294,FRS,Fire and Rescue Services,Station 15,M,68658.0,17789.48,0.0,78201,Junior,Black,4,4,High School,82389.6,6226.317999999999
295,FRS,Fire and Rescue Services,Station 30,M,96088.0,61.09,3773.53,85001,Assistant,White,5,10,Master,240220.00000000003,964.764
296,FRS,Fire and Rescue Services,Field Recruits,M,48942.0,0.0,0.0,60601,Assistant,Hispanic,5,10,Master,122355.0,0.0
297,CCL,County Council,CCL 01 Council Central Staff,M,63425.0,0.0,0.0,90001,Junior,Hispanic,3,1,High School,31712.5,0.0
298,DOT,Department of Transportation,Highway Services,M,101350.0,5244.16,0.0,10001,Senior,Native American,5,6,High School,172295.0,1835.456
299,DOT,Department of Transportation,Transit Gaithersburg Ride On,M,69604.0,24543.91,1440.16,60601,Junior,Other,3,9,Master,146168.40000000002,8950.4085
300,DOT,Department of Transportation,Highway Services,M,47606.14,12070.85,0.0,78201,Senior,White,4,7,Ph.D,85691.05200000001,4224.7975
301,OCP,Office of Consumer Protection,Investigations,F,111407.0,0.0,0.0,19102,Manager,Hispanic,4,8,High School,222814.0,0.0
302,OAS,Office of Animal Services,Animal Services Division,M,58045.91,485.34,0.0,19102,Manager,White,3,3,Master,52241.319,169.86899999999997
303,POL,Department of Police,PSB 2nd District Patrol,M,74752.0,921.45,0.0,19102,Manager,Other,2,1,Bachelor,29900.800000000003,322.5075
304,DEP,Department of Environmental Protection,Recycling and Refuse Services,F,92211.0,15302.31,0.0,92101,Senior,Black,4,1,Ph.D,55326.600000000006,5355.808499999999
305,POL,Department of Police,ISB Major Crimes Division Homicide and Sex Section,M,91894.0,24427.26,0.0,19102,Assistant,Native American,1,7,Ph.D,137841.0,8549.541
306,DGS,Department of General Services,Fleet Management Fleet Services,M,83931.0,4582.08,2500.16,75201,Assistant,White,3,8,Master,159468.90000000002,2228.768
307,DOT,Department of Transportation,Transit Silver Spring Ride On,M,54199.94,6162.47,0.0,95113,Assistant,Native American,4,9,High School,119239.86800000002,2156.8645
308,FRS,Fire and Rescue Services,Station 35,M,87356.0,4453.01,0.0,78201,Manager,Native American,4,10,High School,209654.4,1558.5535
309,REC,Department of Recreation,Facilities Division,M,92211.0,0.0,0.0,60601,Senior,Hispanic,3,7,Master,156758.7,0.0
310,SHF,Sheriff's Office,Warrant Section,F,63425.0,0.0,3835.52,90001,Senior,Other,3,6,Bachelor,95137.5,958.88
311,FRS,Fire and Rescue Services,Station 17,M,96088.0,34908.78,3339.7,95113,Manager,Other,3,5,Ph.D,124914.40000000002,13052.997999999998
312,HHS,Department of Health and Human Services,Public Health Services Division,F,112287.51,0.0,0.0,19102,Assistant,Pacific Islander,1,3,Master,78601.257,0.0
313,DPS,Department of Permitting Services,Zoning Review,F,93260.14,0.0,0.0,90001,Assistant,Other,4,4,Master,111912.168,0.0
314,DOT,Department of Transportation,Director Management Services,M,111407.0,0.0,0.0,85001,Manager,Other,3,4,Master,122547.7,0.0
315,POL,Department of Police,PSB 3rd District Patrol,M,109849.0,1797.77,3816.41,85001,Manager,Asian,1,8,Master,186743.3,1583.322
316,DEP,Department of Environmental Protection,Recycling and Refuse Services,F,92211.0,0.0,2746.64,75201,Junior,Hispanic,4,6,Master,147537.6,686.66
317,HHS,Department of Health and Human Services,HHS 60 School Health Services,F,106250.0,0.0,0.0,77001,Manager,Black,4,2,Bachelor,85000.0,0.0
318,HHS,Department of Health and Human Services,Office of Eligibility and Support Services,F,106250.0,0.0,2110.16,95113,Assistant,Asian,1,1,Ph.D,31875.0,527.54
319,FRS,Fire and Rescue Services,Station 34,M,84401.0,34146.24,0.0,95113,Junior,Black,5,7,Master,160361.90000000002,11951.184
320,FRS,Fire and Rescue Services,Second Battalion - Administration,M,105707.0,4313.41,0.0,75201,Senior,White,5,3,High School,116277.7,1509.6935
321,REC,Department of Recreation,Youth Development Youth Services,M,73636.66,0.0,0.0,92101,Manager,Black,3,9,Ph.D,154636.986,0.0
322,SHF,Sheriff's Office,Civil Process,M,63550.0,183.32,0.0,92101,Assistant,Native American,1,5,Ph.D,69905.0,64.16199999999999
323,POL,Department of Police,MSB Training and Education Division,M,82882.0,4379.57,0.0,92101,Assistant,Hispanic,2,9,Ph.D,165764.0,1532.8494999999998
324,FRS,Fire and Rescue Services,Admin Services,F,101350.0,6053.47,2013.44,77001,Assistant,Hispanic,4,6,Ph.D,162160.0,2622.0745
325,FRS,Fire and Rescue Services,Field Operations Administration,M,85988.0,3626.22,0.0,77001,Junior,Black,1,8,Ph.D,146179.6,1269.177
326,POL,Department of Police,PSB 6th District Special Assignment Team,M,95112.0,12174.19,1408.44,85001,Junior,Other,2,5,Bachelor,114134.4,4613.076499999999
327,DPS,Department of Permitting Services,Well and Septic Review and Inspections,M,106250.0,8501.79,0.0,95113,Assistant,Black,3,7,High School,180625.0,2975.6265000000003
328,CCL,County Council,Council Members and Staff,M,58876.16,0.0,0.0,19102,Junior,White,3,10,High School,135415.16800000003,0.0
329,POL,Department of Police,PSB 1st District Patrol,M,99865.0,190.02,7060.43,90001,Junior,Black,2,2,High School,59919.0,1831.6145
330,SHF,Sheriff's Office,Administration,M,101350.0,0.0,936.0,77001,Assistant,Asian,5,4,High School,131755.0,234.0
331,CEC,Community Engagement Cluster,Wheaton Urban District,M,45865.9,1357.44,0.0,90001,Senior,Native American,3,6,High School,68798.85,475.104
332,FRS,Fire and Rescue Services,Station 18,M,64091.0,61112.39,0.0,90001,Senior,Asian,3,7,Master,108954.7,21389.3365
333,DPS,Department of Permitting Services,Zoning Review,M,106250.0,0.0,6423.04,60601,Senior,Black,1,5,High School,116875.0,1605.76
334,ABS,Alcohol Beverage Services,Leisure World,F,37082.6,156.77,0.0,85001,Manager,Black,4,1,Bachelor,22249.56,54.8695
335,HHS,Department of Health and Human Services,Behavioral Health and Crisis Services Division,F,78789.38,0.0,0.0,85001,Manager,Native American,2,1,Ph.D,31515.752000000004,0.0
336,CCL,County Council,Council Members and Staff,M,61428.0,0.0,0.0,77001,Assistant,Hispanic,5,3,Bachelor,67570.8,0.0
337,POL,Department of Police,PSB 5th District Patrol,F,69782.0,462.83,0.0,90001,Junior,Native American,4,6,Ph.D,111651.2,161.9905
338,FRS,Fire and Rescue Services,Station 10,M,96088.0,23821.61,1035.28,95113,Junior,White,4,8,Ph.D,192176.00000000003,8596.3835
339,TBS,Department of Technology and Enterprise Business Solutions,CIO One Face Forward Initiative,M,152785.0,0.0,0.0,19102,Assistant,Hispanic,1,2,Ph.D,76392.5,0.0
340,DGS,Department of General Services,Fleet Management Services,M,66872.32,4496.7,0.0,78201,Junior,White,2,4,Ph.D,66872.32,1573.8449999999998
341,POL,Department of Police,PSB 4th District Patrol,F,95112.0,2996.8,6724.51,78201,Senior,Native American,5,10,Bachelor,237780.0,2730.0075
342,POL,Department of Police,FSB Traffic Division School Safety Section,F,18655.84,0.0,0.0,90001,Assistant,White,3,1,Bachelor,9327.92,0.0
343,HHS,Department of Health and Human Services,Aging & Disability Services Division,F,82000.0,0.0,0.0,95113,Manager,White,1,5,Master,90200.0,0.0
344,LIB,Department of Public Libraries,Chevy Chase Library,F,65024.16,0.0,0.0,85001,Manager,Other,5,10,Ph.D,162560.40000000002,0.0
345,POL,Department of Police,PSB 2nd District Patrol,F,57085.0,2179.86,0.0,10001,Assistant,Hispanic,3,1,Bachelor,28542.5,762.951
346,HHS,Department of Health and Human Services,Behavioral Health and Crisis Services Division,F,72930.0,0.0,0.0,85001,Manager,Hispanic,5,10,Master,182325.0,0.0
347,HHS,Department of Health and Human Services,Child Welfare Services,F,47724.76,0.0,0.0,75201,Senior,Black,3,4,Ph.D,52497.236,0.0
348,LIB,Department of Public Libraries,Maggie Nightingale Library,F,87272.96,0.0,0.0,90001,Assistant,Pacific Islander,5,1,Master,61091.072,0.0
349,HHS,Department of Health and Human Services,HHS 60 School Health Services,F,60903.5,418.81,0.0,92101,Senior,Hispanic,4,6,Bachelor,97445.6,146.5835
350,POL,Department of Police,PSB 1st District Patrol,M,57085.0,0.0,0.0,90001,Senior,White,3,2,Ph.D,39959.5,0.0
351,ABS,Alcohol Beverage Services,Downtown Rockville,M,19513.77,7.41,0.0,92101,Senior,Native American,1,7,Bachelor,29270.655,2.5935
352,HHS,Department of Health and Human Services,Services to End and Prevent Homelessness Division,F,101350.0,0.0,6127.68,95113,Junior,Pacific Islander,5,1,Ph.D,70945.0,1531.92
353,POL,Department of Police,ISB Criminal Investigations Division 6th District Investigative Section,F,91894.0,0.0,0.0,60601,Assistant,Black,5,3,Master,101083.4,0.0
354,FRS,Fire and Rescue Services,Station 21,M,119197.0,59928.57,2877.36,90001,Manager,Pacific Islander,5,2,Bachelor,107277.3,21694.3395
355,DOT,Department of Transportation,DOT 50 Transit Silver Spring Ride On,M,44092.04,3677.56,0.0,95113,Junior,Black,5,3,Bachelor,48501.244000000006,1287.146
356,POL,Department of Police,PSB 4th District Patrol,M,109849.0,712.98,0.0,78201,Manager,Pacific Islander,5,1,Master,76894.30000000002,249.543
357,FRS,Fire and Rescue Services,FRS 45 Station 26,M,96088.0,0.0,3339.7,95113,Manager,Other,2,4,Ph.D,96088.0,834.925
358,FRS,Fire and Rescue Services,Station 25,M,55052.0,9891.81,0.0,85001,Junior,Hispanic,4,6,Ph.D,88083.20000000001,3462.1334999999995
359,HHS,Department of Health and Human Services,HHS 60 School Health Services,F,169856.0,0.0,0.0,90001,Manager,White,5,2,Master,152870.40000000002,0.0
360,HHS,Department of Health and Human Services,Behavioral Health and Crisis Services Division,F,85730.89,3242.77,0.0,78201,Manager,Native American,1,8,Ph.D,145742.513,1134.9695
361,POL,Department of Police,PSB 5th District Station,M,146155.12,1904.26,0.0,92101,Assistant,White,4,2,High School,116924.096,666.491
362,COR,Correction and Rehabilitation,DS MCDC Custody and Security,M,52246.0,47422.79,0.0,78201,Senior,Pacific Islander,3,10,Master,120165.8,16597.9765
363,POL,Department of Police,PSB 3rd District Patrol,F,95112.0,4695.81,0.0,78201,Junior,Black,2,7,Master,152179.2,1643.5335
364,POL,Department of Police,POL 47 MSB Communications Division,F,53350.82,4223.21,0.0,92101,Assistant,Asian,1,8,Bachelor,90696.394,1478.1235
365,DGS,Department of General Services,Central Duplicating,F,47273.63,27.28,0.0,75201,Assistant,Other,1,7,High School,70910.445,9.548
366,FRS,Fire and Rescue Services,Recruiting,M,137231.0,0.0,4798.0,77001,Manager,Asian,2,4,Bachelor,137231.0,1199.5
367,HHS,Department of Health and Human Services,Public Health Services Division,F,78212.15,4235.63,0.0,19102,Manager,Native American,4,1,Bachelor,46927.29,1482.4705
368,FRS,Fire and Rescue Services,Technology Services,M,150943.0,0.0,5244.72,75201,Junior,Hispanic,3,6,Ph.D,226414.5,1311.18
369,HHS,Department of Health and Human Services,Aging & Disability Services Division,F,106250.0,0.0,3164.72,78201,Junior,Hispanic,5,8,High School,223125.0,791.18
370,POL,Department of Police,HQ Office of the Chief,M,99865.0,12457.1,0.0,95113,Senior,Hispanic,5,5,Master,149797.5,4359.985
371,POL,Department of Police,PSB 3rd District Patrol,M,71191.0,10982.38,0.0,10001,Senior,Native American,2,9,Ph.D,142382.0,3843.833
372,POL,Department of Police,MSB Communications Division,M,68861.68,9333.55,0.0,77001,Manager,Black,4,5,Ph.D,96406.35199999998,3266.7424999999994
373,ABS,Alcohol Beverage Services,Westwood,M,61929.22,338.1,0.0,90001,Manager,Asian,3,5,Master,80507.986,118.335
374,POL,Department of Police,PSB 5th District Patrol,M,109849.0,4092.05,7766.33,10001,Junior,Black,5,9,Ph.D,252652.7,3373.8
375,REC,Department of Recreation,Business Services,F,91734.25,0.0,0.0,10001,Junior,White,5,4,Ph.D,119254.52500000002,0.0
376,ABS,Alcohol Beverage Services,Beer Warehouse Operations,M,63425.0,1053.66,0.0,95113,Junior,Hispanic,4,9,High School,139535.0,368.781
377,POL,Department of Police,ISB Major Crimes Division Fugitive Section,M,95112.0,5028.61,6724.51,85001,Assistant,Black,5,2,Master,85600.8,3441.141
378,COR,Correction and Rehabilitation,DS MCCF Unit 2 Security,M,52246.0,12615.48,0.0,60601,Junior,Black,4,3,High School,52246.0,4415.418
379,COR,Correction and Rehabilitation,DS MCCF Unit 3 Security,F,99328.0,33436.46,0.0,10001,Assistant,Black,5,5,High School,148992.00000000003,11702.761
380,DPS,Department of Permitting Services,Land Development Right-of-Way Plan Review,M,116825.0,0.0,2416.8,10001,Junior,Asian,1,6,Master,151872.5,604.2
381,HHS,Department of Health and Human Services,HHS 60 School Health Services,F,74472.0,0.0,0.0,92101,Manager,Hispanic,5,7,Ph.D,141496.80000000002,0.0
