Employee_id,Department,Department_Name,Division,Gender,Base_Salary,2021_Overtime_Pay,2021_Longevity_Pay,Post_Code,Position,Race,Bonus_Level,Length_of_Service,Education,other_bonus,base_bonus
184,POL,Department of Police,FSB Traffic Division Collision Reconstruction,M,95112.0,11213.95,6724.51,75201,Junior,Asian,2,1,Bachelor,5606.01,468208.8736164412
185,POL,Department of Police,ISB Criminal Investigations Division Forensic Services Section,F,57038.72,4845.97,0.0,85001,Manager,Native American,5,5,Ph.D,1696.0895,26518.10001833869
186,LIB,Department of Public Libraries,Community Outreach,F,70764.33,0.0,0.0,78201,Manager,Hispanic,1,4,Bachelor,0.0,1242.3542771853845
187,FRS,Fire and Rescue Services,Station 35,M,68658.0,3946.51,0.0,75201,Manager,Other,1,7,High School,1381.2785,115338.28336704498
188,HHS,Department of Health and Human Services,School Health Services,F,106250.0,4099.34,0.0,92101,Junior,Other,1,2,Bachelor,1434.769,22623.8064006074
189,HHS,Department of Health and Human Services,Services to End and Prevent Homelessness Division,F,101350.0,16566.45,6127.68,90001,Senior,Other,3,10,Master,7330.1775,110479.33895725256
190,CEC,Community Engagement Cluster,Community Partnerships,F,50750.0,0.0,0.0,78201,Assistant,Hispanic,2,4,Ph.D,0.0,1242.3542771853845
191,FRS,Fire and Rescue Services,Station 33,M,71062.0,141.69,0.0,90001,Senior,Asian,2,6,High School,49.5915,4109.160825778743
192,POL,Department of Police,POL 47 PSB 5th District Patrol,M,95112.0,0.0,3565.22,75201,Senior,Pacific Islander,4,9,Bachelor,891.305,74413.25933852092
193,DOT,Department of Transportation,DOT 50 Transportation System Engineering,F,80562.13,0.0,0.0,90001,Senior,Black,3,7,Bachelor,0.0,1242.3542771853845
194,HHS,Department of Health and Human Services,Office of Eligibility and Support Services,F,87969.0,0.0,5318.56,95113,Assistant,Asian,2,10,Bachelor,1329.64,21057.13561229009
195,CEC,Community Engagement Cluster,Community Partnerships,F,75500.0,0.0,0.0,85001,Assistant,White,4,7,High School,0.0,1242.3542771853845
196,LIB,Department of Public Libraries,Kensington Park Library,M,92211.0,1066.24,1907.6,75201,Junior,Native American,4,6,High School,850.084,70970.27637009551
197,HHS,Department of Health and Human Services,Office of Eligibility and Support Services,F,31712.5,0.0,0.0,75201,Junior,Asian,4,9,High School,0.0,1242.3542771853845
198,HHS,Department of Health and Human Services,Public Health Services Division,M,71530.5,2207.29,0.0,92101,Junior,Asian,2,8,Master,772.5514999999999,64494.37629490462
199,HHS,Department of Health and Human Services,Office of Eligibility and Support Services,M,48261.4,0.0,0.0,85001,Junior,White,2,10,Bachelor,0.0,-32.96794059444101
200,POL,Department of Police,FSB Traffic Division School Safety Section,M,19986.48,0.0,0.0,75201,Senior,Asian,3,2,Bachelor,0.0,-32.96794059444101
201,POL,Department of Police,POL 47 MSB Training and Education Division,F,53288.0,38.43,0.0,95113,Manager,Hispanic,4,10,Master,13.4505,1442.7985450682893
202,DOT,Department of Transportation,Highway Services,M,66446.0,4931.0,4017.52,90001,Senior,White,2,5,Master,2730.23,228009.42282828843
203,POL,Department of Police,MSB Communications Division,F,92211.0,1501.58,0.0,77001,Junior,Native American,5,3,Bachelor,525.553,9074.337201140956
204,FRS,Fire and Rescue Services,Field Recruits,M,48942.0,397.11,0.0,78201,Manager,Pacific Islander,3,7,Ph.D,138.9885,11576.042959359364
205,CAT,County Attorney's Office,Human Resources and Appeals,F,149030.06,0.0,0.0,95113,Manager,Black,4,6,Bachelor,0.0,1242.3542771853845
206,DOT,Department of Transportation,Transit Silver Spring Ride On,F,50595.83,3634.59,0.0,90001,Assistant,Asian,2,9,Bachelor,1272.1065,20199.75036369405
207,POL,Department of Police,PSB 2nd District Patrol,M,95112.0,0.0,6724.51,90001,Assistant,Asian,3,7,Ph.D,1681.1275,140383.1634063306
208,FRS,Fire and Rescue Services,Station 6,M,96088.0,41683.49,3339.6,75201,Junior,Hispanic,1,10,Master,15424.121499999996,1288266.3849966037
209,ABS,Alcohol Beverage Services,Wholesale Operations,M,92211.0,0.0,5574.4,95113,Assistant,Black,4,3,High School,1393.6,116367.43633872092
210,FRS,Fire and Rescue Services,Station 23,F,96088.0,0.0,517.44,85001,Senior,Asian,5,5,Master,129.36,3170.124285239553
211,FRS,Fire and Rescue Services,Station 24,M,61040.0,38643.21,0.0,85001,Junior,Black,3,9,Master,13525.1235,1129652.6257216248
212,FRS,Fire and Rescue Services,Station 34,M,84401.0,16229.32,0.0,92101,Senior,Hispanic,3,4,Ph.D,5680.262,474410.7700132176
213,POL,Department of Police,MSB Information Mgmt and Tech Division Records Management Section,M,72930.0,0.0,2172.56,85001,Manager,Asian,3,10,Bachelor,543.14,45332.78663766858
214,FRS,Fire and Rescue Services,FRS 45 Station 14,M,119197.0,12785.93,4486.14,60601,Assistant,White,5,9,Master,5596.6105,467423.7806198686
215,LIB,Department of Public Libraries,Aspen Hill Library,F,92211.0,0.0,5574.4,19102,Assistant,Pacific Islander,3,2,Bachelor,1393.6,22010.29091311836
216,ABS,Alcohol Beverage Services,ABS 85 Leisure World,M,38380.34,0.0,0.0,77001,Junior,Native American,1,6,Ph.D,0.0,-32.96794059444101
217,HHS,Department of Health and Human Services,Public Health Services Division,M,92211.0,0.0,5574.4,95113,Manager,Native American,2,5,Bachelor,1393.6,116367.43633872092
218,COR,Correction and Rehabilitation,DS MCCF Unit 2 Security,F,86850.0,10525.14,0.0,60601,Senior,Asian,4,1,Bachelor,3683.799,56139.67360232407
219,DOT,Department of Transportation,Transit Silver Spring Ride On,M,69604.0,12498.13,2028.67,78201,Junior,Other,4,3,Bachelor,4881.512999999999,407695.28026171145
220,DGS,Department of General Services,Facilities Major Programs,M,128483.0,0.0,7767.76,77001,Senior,White,4,3,Ph.D,1941.94,162167.5207836978
221,HHS,Department of Health and Human Services,School Health Services,F,49085.31,570.7,0.0,95113,Senior,Black,3,3,Ph.D,199.745,4219.027284751711
222,COR,Correction and Rehabilitation,COR 42 DS MCDC Custody and Security,M,49757.0,1353.52,0.0,10001,Senior,Asian,2,9,Bachelor,473.732,39535.48521673092
223,COR,Correction and Rehabilitation,DS MCCF Unit 2 Security,F,63721.0,10874.6,0.0,77001,Senior,Other,5,5,Master,3806.11,57962.39683558871
224,FRS,Fire and Rescue Services,Station 40,M,119197.0,47452.15,4102.71,77001,Manager,Black,3,4,High School,17633.93,1472840.5833174046
225,HHS,Department of Health and Human Services,HHS 60 School Health Services,F,81916.0,0.0,0.0,19102,Assistant,Hispanic,2,2,High School,0.0,1242.3542771853845
226,DOT,Department of Transportation,Highway Services,M,36240.0,1921.16,0.0,19102,Junior,Black,3,4,Bachelor,672.406,56129.72597432901
227,HHS,Department of Health and Human Services,Aging & Disability Services Division,F,86697.89,0.0,0.0,19102,Manager,Pacific Islander,1,2,Ph.D,0.0,1242.3542771853845
228,DPS,Department of Permitting Services,Customer Support,F,83931.0,160.6,5070.61,78201,Junior,Asian,2,3,Bachelor,1323.8625,20971.03719530236
229,HHS,Department of Health and Human Services,Public Health Services Division,F,72930.0,3269.38,0.0,10001,Senior,Black,1,9,Ph.D,1144.283,18294.877840313464
230,POL,Department of Police,PSB 5th District Community Action Team,M,109849.0,8623.43,0.0,92101,Assistant,Other,3,2,Ph.D,3018.2005,252062.15145954315
231,LIB,Department of Public Libraries,Kensington Park Library,F,85157.78,0.0,0.0,78201,Junior,Black,1,6,Ph.D,0.0,1242.3542771853845
232,POL,Department of Police,FSB Special Operations Division Tactical Operations Section,M,95112.0,9174.23,2295.27,78201,Junior,Other,5,3,High School,3784.798,316092.1879976549
233,HHS,Department of Health and Human Services,School Health Services,F,47425.51,0.0,0.0,85001,Junior,Native American,5,6,Bachelor,0.0,1242.3542771853845
234,LIB,Department of Public Libraries,Davis Library,M,89671.34,0.0,0.0,90001,Junior,Asian,2,4,High School,0.0,-32.96794059444101
235,REC,Department of Recreation,Programs Division,F,168715.45,0.0,0.0,10001,Manager,Hispanic,4,2,High School,0.0,1242.3542771853845
236,DOT,Department of Transportation,Highway Services,M,66446.0,15632.62,1980.16,95113,Manager,Pacific Islander,2,3,Ph.D,5966.457,498315.2000524819
237,ABS,Alcohol Beverage Services,Purchasing,M,109420.92,0.0,0.0,10001,Manager,Black,1,3,Ph.D,0.0,-32.96794059444101
238,CEC,Community Engagement Cluster,Silver Spring Urban District,M,41369.05,8497.77,0.0,60601,Senior,White,5,6,Ph.D,2974.2195,248388.639561862
239,CUS,Community Use of Public Facilities,Core Services Team,F,68148.12,196.59,0.0,85001,Junior,White,4,1,Bachelor,68.8065,2267.7338926706902
240,FRS,Fire and Rescue Services,Station 19,M,96088.0,0.0,0.0,85001,Senior,White,1,5,Ph.D,0.0,-32.96794059444101
241,HHS,Department of Health and Human Services,Public Health Services Division,F,106250.0,5193.16,0.0,78201,Assistant,Asian,5,2,Bachelor,1817.606,28328.983322170745
242,ABS,Alcohol Beverage Services,ABS 85 Liquor and Wine Delivery Operations,M,45634.79,806.04,0.0,10001,Senior,Other,4,3,High School,282.114,23530.5966782738
243,FRS,Fire and Rescue Services,Field Recruits,F,48942.0,0.0,0.0,92101,Manager,Asian,2,9,High School,0.0,1242.3542771853845
244,POL,Department of Police,PSB 4th District Patrol,M,77370.0,8249.05,0.0,19102,Assistant,Pacific Islander,3,10,Bachelor,2887.1675,241117.6234931744
245,COR,Correction and Rehabilitation,DS MCCF Unit 3 Security,M,48073.0,13937.84,0.0,90001,Assistant,Other,4,6,High School,4878.244,407422.2371205024
246,DOT,Department of Transportation,Transit Nicholson Ride On,M,76419.0,54317.61,2276.56,95113,Senior,Native American,5,3,High School,19580.3035,1635411.380015558
247,POL,Department of Police,PSB 4th District Patrol,M,55154.0,227.18,0.0,85001,Manager,White,3,6,High School,79.51299999999999,6608.353346332368
248,POL,Department of Police,FSB Traffic Division Collision Reconstruction,M,95112.0,6583.18,2295.27,60601,Junior,Asian,2,6,Bachelor,2877.9305,240346.1033049367
249,POL,Department of Police,PSB 5th District Community Action Team,M,90072.0,2211.29,0.0,92101,Junior,Other,1,6,Master,773.9514999999999,64611.31125901989
250,DGS,Department of General Services,Facilities Maintenance,M,69604.0,61676.61,4207.84,19102,Senior,Pacific Islander,1,9,High School,22638.7735,1890870.0083710093
251,POL,Department of Police,HQ Office of the Chief Internal Affairs Division,M,109849.0,323.12,3816.41,78201,Assistant,Other,2,4,Bachelor,1067.1945,89104.42531763017
252,CEC,Community Engagement Cluster,Business Management,F,76020.33,0.0,0.0,19102,Manager,White,5,7,Ph.D,0.0,1242.3542771853845
253,FRS,Fire and Rescue Services,Station 22,M,84401.0,1176.16,0.0,78201,Manager,Other,1,6,Master,411.656,34350.58890785981
254,FIN,Department of Finance,Tax Operations,F,111407.0,0.0,0.0,95113,Assistant,Hispanic,5,6,Master,0.0,1242.3542771853845
255,HHS,Department of Health and Human Services,Office of Eligibility and Support Services,F,87969.0,0.0,2620.8,90001,Senior,Hispanic,4,6,Ph.D,655.2,11006.3841881091
256,POL,Department of Police,PSB 6th District Patrol,F,86830.64,4295.04,5256.16,95113,Manager,Native American,5,7,Bachelor,2817.304,43226.84836168634
257,DGS,Department of General Services,Property Management,M,106250.0,50861.51,0.0,78201,Manager,Black,3,4,Ph.D,17801.5285,1486839.2437340284
258,POL,Department of Police,PSB 3rd District Patrol,F,91894.0,18836.36,0.0,78201,Junior,Black,1,10,Master,6592.726,99489.56712597117
259,LIB,Department of Public Libraries,Digital Strategies,F,86668.31,0.0,0.0,92101,Manager,White,1,1,Bachelor,0.0,1242.3542771853845
260,FRS,Fire and Rescue Services,Station 32,M,92838.0,58237.38,0.0,10001,Junior,White,5,3,Ph.D,20383.083,1702463.517176254
261,LIB,Department of Public Libraries,White Oak Library,M,29871.81,0.0,0.0,95113,Senior,White,2,9,Ph.D,0.0,-32.96794059444101
262,POL,Department of Police,ISB Criminal Investigations Division 3rd District Investigative Section,M,95112.0,2687.59,0.0,95113,Manager,Black,2,6,Bachelor,940.6565,78535.34211104579
263,FRS,Fire and Rescue Services,Station 17,M,55052.0,8185.59,0.0,95113,Senior,Native American,5,9,High School,2864.9565,239262.4502874856
264,FRS,Fire and Rescue Services,FRS 45 Fourth Battalion - Administration,F,137231.0,0.0,5099.39,95113,Manager,Pacific Islander,5,5,Master,1274.8475,20240.59774767733
265,FRS,Fire and Rescue Services,Station 7,M,68658.0,50651.6,0.0,60601,Junior,Asian,4,7,High School,17728.059999999998,1480702.789154669
266,OHR,Office of Human Resources,Health Insurance Team,F,108486.88,0.0,0.0,19102,Manager,Hispanic,3,4,Master,0.0,1242.3542771853845
267,HHS,Department of Health and Human Services,Child Welfare Services,M,68018.11,0.0,0.0,95113,Junior,Asian,5,5,Master,0.0,-32.96794059444101
268,ABS,Alcohol Beverage Services,Beer Delivery Operations,M,65832.76,12552.22,0.0,78201,Junior,Hispanic,1,1,Ph.D,4393.276999999999,366915.3808761519
269,HHS,Department of Health and Human Services,Aging & Disability Services Division,M,63577.77,0.0,0.0,60601,Assistant,Other,3,5,Bachelor,0.0,-32.96794059444101
270,HHS,Department of Health and Human Services,Public Health Services Division,F,161615.3,0.0,0.0,60601,Assistant,Pacific Islander,2,5,Master,0.0,1242.3542771853845
271,POL,Department of Police,ISB Major Crimes Division Fugitive Section,M,99865.0,9550.54,7060.43,19102,Junior,White,4,1,Bachelor,5107.7965,426595.6037991244
272,DOT,Department of Transportation,Transit Gaithersburg Ride On,M,69604.0,1641.05,2073.76,60601,Assistant,Other,1,8,Master,1092.8075,91243.75048611904
273,FRS,Fire and Rescue Services,Station 32,M,61923.0,5909.16,0.0,78201,Assistant,Pacific Islander,3,4,Master,2068.206,172713.8851972541
274,HHS,Department of Health and Human Services,School Health Services,F,48767.54,120.59,0.0,92101,Assistant,Hispanic,3,3,Bachelor,42.2065,1871.330968936608
275,HHS,Department of Health and Human Services,Public Health Services Division,F,79319.46,312.2,0.0,75201,Senior,Pacific Islander,5,6,Master,109.27,2870.735761261444
276,DPS,Department of Permitting Services,Land Development Right-of-Way Inspection,M,62434.52,9679.85,0.0,90001,Assistant,Pacific Islander,3,4,Master,3387.9475,282945.26015720685
277,FRS,Fire and Rescue Services,Station 6,M,87356.0,5321.19,0.0,75201,Assistant,Pacific Islander,5,10,Bachelor,1862.4165,155525.32248454014
278,DGS,Department of General Services,Facilities Maintenance,M,72039.76,26805.48,0.0,10001,Junior,Other,5,3,Bachelor,9381.918,783591.4925325584
279,CEC,Community Engagement Cluster,Wheaton Urban District,M,58493.17,5563.81,0.0,78201,Manager,Asian,2,5,Master,1947.3335,162618.01273295187
280,HHS,Department of Health and Human Services,Chief Operating Officer Division,M,105023.22,0.0,0.0,92101,Manager,Other,4,1,Master,0.0,-32.96794059444101
281,DGS,Department of General Services,Fleet Automotive Heavy Equipment,M,90236.95,6040.6,0.0,92101,Assistant,Black,4,7,Ph.D,2114.21,176556.36811808188
282,HHS,Department of Health and Human Services,Public Health Services Division,M,50485.6,673.56,0.0,85001,Assistant,Hispanic,5,3,Bachelor,235.74599999999995,19657.71066677602
283,ABS,Alcohol Beverage Services,Retail Administration,F,63167.59,0.0,0.0,85001,Senior,White,2,9,Master,0.0,1242.3542771853845
284,POL,Department of Police,PSB 5th District Patrol,M,99865.0,1343.46,7060.43,78201,Senior,Native American,2,5,Bachelor,2235.3185,186671.95247633493
285,SHF,Sheriff's Office,Child Support,M,75391.0,98.73,0.0,85001,Manager,Other,3,6,Ph.D,34.5555,2853.2793111807327
286,ABS,Alcohol Beverage Services,Liquor and WIne Loading,M,44384.07,1934.33,0.0,10001,Junior,White,2,7,High School,677.0155,56514.73434367855
287,POL,Department of Police,PSB 4th District Community Action Team,M,74752.0,6711.97,0.0,95113,Assistant,Asian,3,6,High School,2349.1895,196183.02483259924
288,POL,Department of Police,PSB 4th District Patrol,M,95112.0,11533.44,3304.47,75201,Assistant,Other,1,7,Bachelor,4862.8215,406134.0732033111
289,POL,Department of Police,PSB 4th District Patrol,M,109849.0,2812.19,2504.05,85001,Senior,Black,4,1,Ph.D,1610.279,134465.54425981577
290,HHS,Department of Health and Human Services,Chief Operating Officer Division,M,111485.0,0.0,0.0,19102,Manager,Asian,4,9,Bachelor,0.0,-32.96794059444101
291,DOT,Department of Transportation,Transit Silver Spring Ride On,M,58060.12,22620.16,0.0,85001,Junior,Other,2,3,High School,7917.056,661238.9315298271
292,DGS,Department of General Services,Fleet Management Administration,F,80086.0,0.0,0.0,95113,Junior,Asian,5,3,Master,0.0,1242.3542771853845
293,HHS,Department of Health and Human Services,Behavioral Health and Crisis Services Division,F,63425.0,0.0,1889.68,10001,Assistant,Other,3,10,Bachelor,472.42,8282.529812164903
294,FRS,Fire and Rescue Services,Station 15,M,68658.0,17789.48,0.0,78201,Junior,Black,4,4,High School,6226.317999999999,520020.08341673785
295,FRS,Fire and Rescue Services,Station 30,M,96088.0,61.09,3773.53,85001,Assistant,White,5,10,Master,964.764,80548.92043062356
296,FRS,Fire and Rescue Services,Field Recruits,M,48942.0,0.0,0.0,60601,Assistant,Hispanic,5,10,Master,0.0,-32.96794059444101
297,CCL,County Council,CCL 01 Council Central Staff,M,63425.0,0.0,0.0,90001,Junior,Hispanic,3,1,High School,0.0,-32.96794059444101
298,DOT,Department of Transportation,Highway Services,M,101350.0,5244.16,0.0,10001,Senior,Native American,5,6,High School,1835.456,153273.4474130903
299,DOT,Department of Transportation,Transit Gaithersburg Ride On,M,69604.0,24543.91,1440.16,60601,Junior,Other,3,9,Master,8950.4085,747549.6726054881
300,DOT,Department of Transportation,Highway Services,M,47606.14,12070.85,0.0,78201,Senior,White,4,7,Ph.D,4224.7975,352843.13495711
301,OCP,Office of Consumer Protection,Investigations,F,111407.0,0.0,0.0,19102,Manager,Hispanic,4,8,High School,0.0,1242.3542771853845
302,OAS,Office of Animal Services,Animal Services Division,M,58045.91,485.34,0.0,19102,Manager,White,3,3,Master,169.86899999999997,14155.33593033195
303,POL,Department of Police,PSB 2nd District Patrol,M,74752.0,921.45,0.0,19102,Manager,Other,2,1,Bachelor,322.5075,26904.46273040965
304,DEP,Department of Environmental Protection,Recycling and Refuse Services,F,92211.0,15302.31,0.0,92101,Senior,Black,4,1,Ph.D,5355.808499999999,81056.57038093914
305,POL,Department of Police,ISB Major Crimes Division Homicide and Sex Section,M,91894.0,24427.26,0.0,19102,Assistant,Native American,1,7,Ph.D,8549.541,714067.2249430035
306,DGS,Department of General Services,Fleet Management Fleet Services,M,83931.0,4582.08,2500.16,75201,Assistant,White,3,8,Master,2228.768,186124.82213173705
307,DOT,Department of Transportation,Transit Silver Spring Ride On,M,54199.94,6162.47,0.0,95113,Assistant,Native American,4,9,High School,2156.8645,180119.0841372639
308,FRS,Fire and Rescue Services,Station 35,M,87356.0,4453.01,0.0,78201,Manager,Native American,4,10,High School,1558.5535,130145.17319814116
309,REC,Department of Recreation,Facilities Division,M,92211.0,0.0,0.0,60601,Senior,Hispanic,3,7,Master,0.0,-32.96794059444101
310,SHF,Sheriff's Office,Warrant Section,F,63425.0,0.0,3835.52,90001,Senior,Other,3,6,Bachelor,958.88,15531.93455952136
311,FRS,Fire and Rescue Services,Station 17,M,96088.0,34908.78,3339.7,95113,Manager,Other,3,5,Ph.D,13052.997999999998,1090218.3554356217
312,HHS,Department of Health and Human Services,Public Health Services Division,F,112287.51,0.0,0.0,19102,Assistant,Pacific Islander,1,3,Master,0.0,1242.3542771853845
313,DPS,Department of Permitting Services,Zoning Review,F,93260.14,0.0,0.0,90001,Assistant,Other,4,4,Master,0.0,1242.3542771853845
314,DOT,Department of Transportation,Director Management Services,M,111407.0,0.0,0.0,85001,Manager,Other,3,4,Master,0.0,-32.96794059444101
315,POL,Department of Police,PSB 3rd District Patrol,M,109849.0,1797.77,3816.41,85001,Manager,Asian,1,8,Master,1583.322,132213.96152577622
316,DEP,Department of Environmental Protection,Recycling and Refuse Services,F,92211.0,0.0,2746.64,75201,Junior,Hispanic,4,6,Master,686.66,11475.212608435197
317,HHS,Department of Health and Human Services,HHS 60 School Health Services,F,106250.0,0.0,0.0,77001,Manager,Black,4,2,Bachelor,0.0,1242.3542771853845
318,HHS,Department of Health and Human Services,Office of Eligibility and Support Services,F,106250.0,0.0,2110.16,95113,Assistant,Asian,1,1,Ph.D,527.54,9103.94820149658
319,FRS,Fire and Rescue Services,Station 34,M,84401.0,34146.24,0.0,95113,Junior,Black,5,7,Master,11951.184,998189.3693272624
320,FRS,Fire and Rescue Services,Second Battalion - Administration,M,105707.0,4313.41,0.0,75201,Senior,White,5,3,High School,1509.6935,126064.14295051822
321,REC,Department of Recreation,Youth Development Youth Services,M,73636.66,0.0,0.0,92101,Manager,Black,3,9,Ph.D,0.0,-32.96794059444101
322,SHF,Sheriff's Office,Civil Process,M,63550.0,183.32,0.0,92101,Assistant,Native American,1,5,Ph.D,64.16199999999999,5326.161464808423
323,POL,Department of Police,MSB Training and Education Division,M,82882.0,4379.57,0.0,92101,Assistant,Hispanic,2,9,Ph.D,1532.8494999999998,127998.24725698476
324,FRS,Fire and Rescue Services,Admin Services,F,101350.0,6053.47,2013.44,77001,Assistant,Hispanic,4,6,Ph.D,2622.0745,40317.4669857787
325,FRS,Fire and Rescue Services,Field Operations Administration,M,85988.0,3626.22,0.0,77001,Junior,Black,1,8,Ph.D,1269.177,105975.00845292494
326,POL,Department of Police,PSB 6th District Special Assignment Team,M,95112.0,12174.19,1408.44,85001,Junior,Other,2,5,Bachelor,4613.076499999999,385274.12847976224
327,DPS,Department of Permitting Services,Well and Septic Review and Inspections,M,106250.0,8501.79,0.0,95113,Assistant,Black,3,7,High School,2975.6265000000003,248506.1592007978
328,CCL,County Council,Council Members and Staff,M,58876.16,0.0,0.0,19102,Junior,White,3,10,High School,0.0,-32.96794059444101
329,POL,Department of Police,PSB 1st District Patrol,M,99865.0,190.02,7060.43,90001,Junior,Black,2,2,High School,1831.6145,152952.5862240554
330,SHF,Sheriff's Office,Administration,M,101350.0,0.0,936.0,77001,Assistant,Asian,5,4,High School,234.0,19511.87606152941
331,CEC,Community Engagement Cluster,Wheaton Urban District,M,45865.9,1357.44,0.0,90001,Senior,Native American,3,6,High School,475.104,39650.08148156389
332,FRS,Fire and Rescue Services,Station 18,M,64091.0,61112.39,0.0,90001,Senior,Asian,3,7,Master,21389.3365,1786510.8149715154
333,DPS,Department of Permitting Services,Zoning Review,M,106250.0,0.0,6423.04,60601,Senior,Black,1,5,High School,1605.76,134088.09490064654
334,ABS,Alcohol Beverage Services,Leisure World,F,37082.6,156.77,0.0,85001,Manager,Black,4,1,Bachelor,54.8695,2060.039623945807
335,HHS,Department of Health and Human Services,Behavioral Health and Crisis Services Division,F,78789.38,0.0,0.0,85001,Manager,Native American,2,1,Ph.D,0.0,1242.3542771853845
336,CCL,County Council,Council Members and Staff,M,61428.0,0.0,0.0,77001,Assistant,Hispanic,5,3,Bachelor,0.0,-32.96794059444101
337,POL,Department of Police,PSB 5th District Patrol,F,69782.0,462.83,0.0,90001,Junior,Native American,4,6,Ph.D,161.9905,3656.395924446508
338,FRS,Fire and Rescue Services,Station 10,M,96088.0,23821.61,1035.28,95113,Junior,White,4,8,Ph.D,8596.3835,717979.7435548389
339,TBS,Department of Technology and Enterprise Business Solutions,CIO One Face Forward Initiative,M,152785.0,0.0,0.0,19102,Assistant,Hispanic,1,2,Ph.D,0.0,-32.96794059444101
340,DGS,Department of General Services,Fleet Management Services,M,66872.32,4496.7,0.0,78201,Junior,White,2,4,Ph.D,1573.8449999999998,131422.39534369018
341,POL,Department of Police,PSB 4th District Patrol,F,95112.0,2996.8,6724.51,78201,Senior,Native American,5,10,Bachelor,2730.0075,41925.924007109184
342,POL,Department of Police,FSB Traffic Division School Safety Section,F,18655.84,0.0,0.0,90001,Assistant,White,3,1,Bachelor,0.0,1242.3542771853845
343,HHS,Department of Health and Human Services,Aging & Disability Services Division,F,82000.0,0.0,0.0,95113,Manager,White,1,5,Master,0.0,1242.3542771853845
344,LIB,Department of Public Libraries,Chevy Chase Library,F,65024.16,0.0,0.0,85001,Manager,Other,5,10,Ph.D,0.0,1242.3542771853845
345,POL,Department of Police,PSB 2nd District Patrol,F,57085.0,2179.86,0.0,10001,Assistant,Hispanic,3,1,Bachelor,762.951,12612.128978908764
346,HHS,Department of Health and Human Services,Behavioral Health and Crisis Services Division,F,72930.0,0.0,0.0,85001,Manager,Hispanic,5,10,Master,0.0,1242.3542771853845
347,HHS,Department of Health and Human Services,Child Welfare Services,F,47724.76,0.0,0.0,75201,Senior,Black,3,4,Ph.D,0.0,1242.3542771853845
348,LIB,Department of Public Libraries,Maggie Nightingale Library,F,87272.96,0.0,0.0,90001,Assistant,Pacific Islander,5,1,Master,0.0,1242.3542771853845
349,HHS,Department of Health and Human Services,HHS 60 School Health Services,F,60903.5,418.81,0.0,92101,Senior,Hispanic,4,6,Bachelor,146.5835,3426.795178357372
350,POL,Department of Police,PSB 1st District Patrol,M,57085.0,0.0,0.0,90001,Senior,White,3,2,Ph.D,0.0,-32.96794059444101
351,ABS,Alcohol Beverage Services,Downtown Rockville,M,19513.77,7.41,0.0,92101,Senior,Native American,1,7,Bachelor,2.5935,183.65408042909831
352,HHS,Department of Health and Human Services,Services to End and Prevent Homelessness Division,F,101350.0,0.0,6127.68,95113,Junior,Pacific Islander,5,1,Ph.D,1531.92,24071.5861165356
353,POL,Department of Police,ISB Criminal Investigations Division 6th District Investigative Section,F,91894.0,0.0,0.0,60601,Assistant,Black,5,3,Master,0.0,1242.3542771853845
354,FRS,Fire and Rescue Services,Station 21,M,119197.0,59928.57,2877.36,90001,Manager,Pacific Islander,5,2,Bachelor,21694.3395,1811986.1827286936
355,DOT,Department of Transportation,DOT 50 Transit Silver Spring Ride On,M,44092.04,3677.56,0.0,95113,Junior,Black,5,3,Bachelor,1287.146,107475.86871734443
356,POL,Department of Police,PSB 4th District Patrol,M,109849.0,712.98,0.0,78201,Manager,Pacific Islander,5,1,Master,249.543,20810.10473813202
357,FRS,Fire and Rescue Services,FRS 45 Station 26,M,96088.0,0.0,3339.7,95113,Manager,Other,2,4,Ph.D,834.925,69704.12128365022
358,FRS,Fire and Rescue Services,Station 25,M,55052.0,9891.81,0.0,85001,Junior,Hispanic,4,6,Ph.D,3462.1334999999995,289141.643905675
359,HHS,Department of Health and Human Services,HHS 60 School Health Services,F,169856.0,0.0,0.0,90001,Manager,White,5,2,Master,0.0,1242.3542771853845
360,HHS,Department of Health and Human Services,Behavioral Health and Crisis Services Division,F,85730.89,3242.77,0.0,78201,Manager,Native American,1,8,Ph.D,1134.9695,18156.084658727097
361,POL,Department of Police,PSB 5th District Station,M,146155.12,1904.26,0.0,92101,Assistant,White,4,2,High School,666.491,55635.67575094199
362,COR,Correction and Rehabilitation,DS MCDC Custody and Security,M,52246.0,47422.79,0.0,78201,Senior,Pacific Islander,3,10,Master,16597.9765,1386312.5937834124
363,POL,Department of Police,PSB 3rd District Patrol,F,95112.0,4695.81,0.0,78201,Junior,Black,2,7,Master,1643.5335,25734.891294287245
364,POL,Department of Police,POL 47 MSB Communications Division,F,53350.82,4223.21,0.0,92101,Assistant,Asian,1,8,Bachelor,1478.1235,23269.891008014514
365,DGS,Department of General Services,Central Duplicating,F,47273.63,27.28,0.0,75201,Assistant,Other,1,7,High School,9.548,1384.6420634941444
366,FRS,Fire and Rescue Services,Recruiting,M,137231.0,0.0,4798.0,77001,Manager,Asian,2,4,Bachelor,1199.5,100155.23881388229
367,HHS,Department of Health and Human Services,Public Health Services Division,F,78212.15,4235.63,0.0,19102,Manager,Native American,4,1,Bachelor,1482.4705,23334.67159107737
368,FRS,Fire and Rescue Services,Technology Services,M,150943.0,0.0,5244.72,75201,Junior,Hispanic,3,6,Ph.D,1311.18,109483.3079513062
